"","NM","NM_full","Total_Use_Voxels","Marijuana Use","Drug Use","Alcohol Use","Total Use","MVSL_Incorrect","MVSL_Correct","MVSL_avg","MVSL_Contrast","MVSR_Incorrect","MVSR_Correct","MVSR_avg","MVSR_Contrast","SVSL_Incorrect","SVSL_Correct","SVSL_avg","SVSL_Contrast","SVSR_Incorrect","SVSR_Correct","SVSR_avg","SVSR_Contrast","SDSL_Incorrect","SDSL_Correct","SDSL_avg","SDSL_Contrast","SDSR_Incorrect","SDSR_Correct","SDSR_avg","SDSR_Contrast","MDSL_Incorrect","MDSL_Correct","MDSL_avg","MDSL_Contrast","MDSR_Incorrect","MDSR_Correct","MDSR_avg","MDSR_Contrast","VSL","VSR","DSL","DSR"
"MVSL_Contrast",0.250318363016674,0.340414318417559,0.812032177512382,0.793153579838387,0.56521830804628,0.594292982691973,0.836363319679012,0.000191229695155393,3.29852465785763e-06,0.49340859853998,NA,0.116103193543476,0.014379048644694,0.599667679240814,3.9438181298479e-07,0.429104894751338,0.449891954902614,0.360186980988139,0.8532282066342,0.0808747968483419,0.649277271774256,0.142838445809964,0.325090530561421,0.656128016339619,0.509402253478528,0.919598490536873,0.223024618793778,0.735945347812879,0.406583664794496,0.496348196985958,0.593784427737795,0.021340421170168,0.282837823922372,0.315747436361539,0.000168324237507234,0.036255341776656,0.185795212519407,0.614612717962517,0.000571242195555266,0.273602347225968,0.200620548190763,0.620468685249974,0.793822126306967
"MVSR_Incorrect",0.16547626053532,0.157275341367104,0.139047789111404,0.187010093077814,0.432345893349928,0.024130639118213,0.078019146673723,0.000535885831067784,0.349668939872473,0.00613260766523371,0.116103193543476,NA,0.000331860623254521,4.19286827479937e-12,0.0160686884567243,0.144724370169624,0.655947274414471,0.480947175291351,0.0587384716273154,0.398707448028348,0.469215927521641,0.926159666161701,0.228548519541609,0.333309959022504,0.300758806002819,0.26076422028803,0.994615952687602,0.260095138495063,0.471440832828062,0.291290817464473,0.733156672272439,0.0918567912827593,0.0239154918632796,0.0274450904274468,0.864162178405866,0.000568090880474159,0.000776058192817786,2.72352264867326e-05,0.769628351999835,0.227114861127085,0.00010841315677057,0.666043330100426,0.244681447458457
"MVSR_Correct",0.0288381161761229,0.0360628353642691,0.0272477732041181,0.0182526501878371,0.0430898233404053,0.0184991255002849,0.0106718339807919,0.342217710171884,2.58546949423177e-05,0.000617180053881672,0.014379048644694,0.000331860623254521,NA,4.36983782492462e-13,0.00139043197065036,0.827016173524038,0.237826976043706,0.63646516973083,0.22897159566927,0.381661543859459,0.193403601644752,0.148395950388204,0.769276802214472,0.13315106222519,0.803656929680718,0.319304151428678,0.153080278101961,0.274863066539423,0.839057244446631,0.62989001445941,0.199035385627154,0.800376383604042,0.00952428631787727,0.324666558202028,0.0191482545041248,0.591709986216285,0.000143147394862986,0.0181445444456969,0.00689479852813424,0.0127011355381161,2.50021874315109e-08,0.894649449916226,0.401815955626992
"MVSR_avg",0.0416759084645439,0.0454065010240037,0.0355005233884245,0.0359344827813568,0.109606588930335,0.00845940438902826,0.013679589911876,0.0176026720818898,0.00473179789060962,0.000370050727721338,0.599667679240814,4.19286827479937e-12,4.36983782492462e-13,NA,0.636834972973239,0.360270422925444,0.352671160875713,0.914508295413336,0.082722002007757,0.960212818958236,0.248939825115151,0.43393879741742,0.410016333212678,0.160023980052834,0.479764048945173,0.231692340058,0.411830536762658,0.210056548573108,0.785240646600229,0.392425315095136,0.351773020980528,0.450585657940486,0.00548059178808691,0.07682180347233,0.218253276996283,0.0357890123106093,2.94146028432252e-05,0.00023218777272449,0.176995200142613,0.0351292414550679,1.893478174253e-08,0.874777813345454,0.260911599153002
"MVSR_Contrast",0.350973239922832,0.41585317791494,0.388833000996038,0.238341270446823,0.163693815386592,0.796302524572542,0.355998592373591,0.0191995002009659,0.000576329062450309,0.421355286948167,3.9438181298479e-07,0.0160686884567243,0.00139043197065036,0.636834972973239,NA,0.205265968357816,0.398977941313104,0.202910067102396,0.554480443640816,0.0580284855431432,0.494590568759941,0.0852446310271304,0.357771067462313,0.517411787514043,0.426046680235728,0.953603718475404,0.108076596647821,0.964388361654031,0.32666056632471,0.578930682352381,0.285267156318297,0.0387966561437891,0.627635542617326,0.256442185238611,0.00431958053632453,0.00423857011486728,0.553404028968495,0.182680147964608,0.000562088932289484,0.153041841749718,0.162277991053692,0.549667063279768,0.787344064242657
"SVSL_Incorrect",0.483036250722084,0.591026027029989,0.584633061794377,0.519533262871053,0.760642919865044,0.913947921830958,0.824995702804973,0.893232652476972,0.397390025204506,0.6163251821459,0.429104894751338,0.144724370169624,0.827016173524038,0.360270422925444,0.205265968357816,NA,0.00925945333848599,3.10707015671596e-12,1.21344453138938e-05,2.87113849539722e-06,0.807073767751917,0.00234091321367913,0.00180058494086532,5.16839886133269e-06,0.000188805851325524,1.17740043203973e-06,0.395027040602539,2.60980532074129e-07,0.00321517622748058,2.51970631270915e-06,0.195918997049554,0.940613219893471,0.612977840759418,0.775134366787492,0.752417982100907,0.502568549861312,0.564888186703908,0.93267608681721,0.237219117459339,8.03511549873903e-06,0.256373939497744,0.00432138511395896,0.000787290947811048
"SVSL_Correct",0.722960588559744,0.817516982320393,0.813741965590126,0.908226197955182,0.983942061400918,0.440234208969101,0.680245353219132,0.796945511579203,0.488518334791882,0.74908136900238,0.449891954902614,0.655947274414471,0.237826976043706,0.352671160875713,0.398977941313104,0.00925945333848599,NA,4.08975253662902e-09,0.0234641876825847,0.214854986226471,8.19029350407341e-06,0.000216264545683575,0.0440578119732564,0.13620502526216,1.10181268597742e-05,0.00163496993883028,0.0113991432952463,0.0276920397448421,6.45427814482957e-06,9.32319734585629e-05,0.0405156515523144,0.111593936472801,0.259158375635569,0.108558328240841,0.36153194817123,0.312351432725829,0.149123697187196,0.149116969459939,0.76262009396165,0.0001149934968665,0.00368489673024341,0.00163792536167651,9.56468137434108e-05
"SVSL_avg",0.787366225081868,0.819215305181458,0.816524242605448,0.719913971203846,0.834242336696524,0.738426251738588,0.942355818999943,0.823597638214701,0.358588100365404,0.620369283461906,0.360186980988139,0.480947175291351,0.63646516973083,0.914508295413336,0.202910067102396,3.10707015671596e-12,4.08975253662902e-09,NA,0.175933942474974,0.000353445983566569,0.0228648501779667,4.47559418577104e-05,0.38392732615866,0.000234912382979457,4.38025847815382e-07,4.11451696713527e-07,0.472152115475782,6.20015813534991e-06,8.85439768927299e-06,3.22010202946643e-08,0.833089742736429,0.437814603133736,0.795959876195223,0.519925656436205,0.493316003490304,0.927160643514827,0.257402206626326,0.487462604758311,0.353514924007333,1.16840575881128e-07,0.0243279464157728,0.000286831211430805,8.79614929250039e-06
"SVSL_Contrast",0.308905996744895,0.457051945075841,0.448837793766701,0.44903123264949,0.767427881207367,0.453672595623766,0.569743463404171,0.940187466042268,0.769782684405031,0.803591737847884,0.8532282066342,0.0587384716273154,0.22897159566927,0.082722002007757,0.554480443640816,1.21344453138938e-05,0.0234641876825847,0.175933942474974,NA,0.000812737001933961,0.00153290101880765,0.882410422404807,5.57786572485952e-09,0.00267880728147141,0.766524498587246,0.0674008298513002,0.00213549500832855,0.00567834380294752,0.700197882313509,0.215888162342211,0.0014577400590472,0.165415910256096,0.142755350670031,0.103870413970318,0.669364416929605,0.123100987959824,0.557350440707871,0.201771246514786,0.338919362303736,0.266266741419126,0.266455203752874,0.737366652731827,0.777605423358889
"SVSR_Incorrect",0.371505558036865,0.273249135156259,0.480562307162472,0.770098736034923,0.173225453105996,0.639996534110499,0.816968676420045,0.751214911325683,0.0645196035455282,0.288683843894709,0.0808747968483419,0.398707448028348,0.381661543859459,0.960212818958236,0.0580284855431432,2.87113849539722e-06,0.214854986226471,0.000353445983566569,0.000812737001933961,NA,0.422163301080195,1.00067577335494e-07,1.18221319760359e-05,0.00162819669222891,0.0734903772674305,0.0050789474837849,0.140605155156428,0.000193003234677747,0.327528632949739,0.0100856784796335,0.0179167852436071,0.284299326027441,0.903991769421333,0.507981718790638,0.182245951572196,0.0761831564121382,0.695071002771602,0.398225443571741,0.0346475749016606,0.0013235717266471,0.0035214703113946,0.137426322881051,0.136659770541042
